15 16.01 13.92 15.53 17.53 18.53 NA 16.92 20.47 20.86 24.28 NA
23.67 23.85 NA 27.34 26.89 32.26 32.75 32.59 30.65 29.78 29.83 28.36
25.81 22.23 21.85 20.87 21.42 20 19.93 16.5 17.56 13.45 14.04 16.24
15.71 14.76 15.38 11.66 16.29 19.85 17.87 19.9 20.2 18.88 23.25 25.83
26.96 27.48 28.25 30.25 30.03 30.93 30.88 32.39 32.37 28.81 27.76 27.34
22.75 23.21 19.76 19.45 18.3 16.71 NA 16.9 15.98 15.08 15.88 NA
16.41 15.65 NA 19.16 18.55 18.54 20.8 19.09 18.52 23.4 22.96 25.34
29.09 26.34 29.65 31.13 31.45 34.15 33.57 34.06 34.26 31.84 30.03 25.22
25.09 23.61 21.56 22.7 21.01 20.74 19.72 18.84 15.63 15.13 13.23 14.76
